Influence_Multiplier,Seller,Demand,Profit,Revenue
0.1,Seller_A,84287.5,1078830.0,1078880.0
0.1,Seller_B,25091.25,306063.25,306113.25
0.1,Seller_C,11477.75,136535.225,136585.225
0.3111111111111111,Seller_A,84304.38888888889,1079046.177777778,1079096.177777778
0.3111111111111111,Seller_B,25108.13888888889,306269.2944444445,306319.2944444445
0.3111111111111111,Seller_C,11494.638888888889,136736.20277777777,136786.20277777777
0.5222222222222223,Seller_A,84321.27777777778,1079262.3555555556,1079312.3555555556
0.5222222222222223,Seller_B,25125.027777777777,306475.3388888889,306525.3388888889
0.5222222222222223,Seller_C,11511.527777777777,136937.18055555556,136987.18055555556
0.7333333333333333,Seller_A,84338.16666666667,1079478.5333333334,1079528.5333333334
0.7333333333333333,Seller_B,25141.916666666668,306681.3833333333,306731.3833333333
0.7333333333333333,Seller_C,11528.416666666666,137138.15833333333,137188.15833333333
0.9444444444444444,Seller_A,84355.05555555556,1079694.7111111113,1079744.7111111113
0.9444444444444444,Seller_B,25158.805555555555,306887.4277777778,306937.4277777778
0.9444444444444444,Seller_C,11545.305555555555,137339.13611111112,137389.13611111112
1.1555555555555557,Seller_A,84371.94444444444,1079910.8888888888,1079960.8888888888
1.1555555555555557,Seller_B,25175.694444444445,307093.4722222222,307143.4722222222
1.1555555555555557,Seller_C,11562.194444444445,137540.1138888889,137590.1138888889
1.3666666666666667,Seller_A,84388.83333333333,1080127.0666666667,1080177.0666666667
1.3666666666666667,Seller_B,25192.583333333332,307299.51666666666,307349.51666666666
1.3666666666666667,Seller_C,11579.083333333334,137741.09166666667,137791.09166666667
1.577777777777778,Seller_A,84405.72222222222,1080343.2444444445,1080393.2444444445
1.577777777777778,Seller_B,25209.472222222223,307505.5611111111,307555.5611111111
1.577777777777778,Seller_C,11595.972222222223,137942.06944444447,137992.06944444447
1.788888888888889,Seller_A,84422.61111111111,1080559.4222222222,1080609.4222222222
1.788888888888889,Seller_B,25226.36111111111,307711.6055555555,307761.6055555555
1.788888888888889,Seller_C,11612.861111111111,138143.04722222223,138193.04722222223
2.0,Seller_A,84439.5,1080775.6,1080825.6
2.0,Seller_B,25243.25,307917.64999999997,307967.64999999997
2.0,Seller_C,11629.75,138344.025,138394.025
